Date,Open,High,Low,Close,Adj Close,Volume
2019-05-20,120.709999,121.209999,120.540001,120.839996,100.917030,4569700
2019-05-21,121.029999,121.940002,120.900002,121.339996,101.334595,4859400
2019-05-22,120.900002,121.440002,120.339996,120.570000,100.691551,5763300
2019-05-23,118.809998,118.870003,116.860001,117.870003,98.436691,11000200
2019-05-24,118.300003,118.930000,117.379997,118.709999,99.138222,4890800
2019-05-28,118.879997,119.320000,118.169998,118.309998,98.804146,8145100
2019-05-29,117.040001,117.360001,115.820000,116.769997,97.518044,7451300
2019-05-30,116.540001,116.739998,114.849998,115.379997,96.357216,5807900
2019-05-31,114.220001,115.199997,113.720001,113.849998,95.079475,6899800
2019-06-03,114.699997,116.099998,114.470001,115.989998,96.866669,6100800
2019-06-04,116.599998,117.680000,116.290001,117.300003,97.960686,5235600
2019-06-05,117.870003,118.029999,116.269997,117.650002,98.252983,5105700
2019-06-06,118.209999,121.160004,118.110001,120.680000,100.783417,7370100
2019-06-07,120.739998,122.120003,120.529999,121.480003,101.451523,5343100
2019-06-10,122.199997,122.760002,121.709999,122.290001,102.127968,5708800
2019-06-11,123.370003,123.500000,121.150002,121.169998,101.192612,5625100
2019-06-12,120.379997,120.580002,119.559998,120.190002,100.374207,4000100
2019-06-13,121.239998,121.889999,120.459999,120.910004,100.975502,3993300
2019-06-14,121.000000,121.160004,120.370003,120.809998,100.891975,3366800
2019-06-17,120.720001,121.839996,120.379997,121.389999,101.376366,4219100
2019-06-18,121.949997,123.870003,121.860001,122.930000,102.662460,4884300
2019-06-19,122.510002,123.480003,122.220001,122.889999,102.629059,3847100
2019-06-20,124.309998,124.699997,123.599998,124.279999,103.789879,7771700
2019-06-21,124.800003,126.199997,124.230003,124.930000,104.332710,14287900
2019-06-24,124.540001,125.379997,124.419998,124.910004,104.316010,5542600
2019-06-25,124.839996,125.110001,123.489998,123.639999,103.255402,4713300
2019-06-26,124.570000,124.879997,123.879997,123.930000,103.497589,5054800
2019-06-27,123.919998,124.199997,122.889999,123.110001,102.812790,3551700
2019-06-28,123.410004,124.480003,123.120003,124.440002,103.923492,7048300
2019-07-01,125.360001,125.839996,124.360001,124.839996,104.257538,5526900
2019-07-02,124.550003,124.720001,122.389999,122.930000,102.662460,5747700
2019-07-03,122.930000,123.370003,122.330002,123.349998,103.013206,2725800
2019-07-05,123.139999,123.739998,122.639999,123.540001,103.171890,3458900
2019-07-08,123.660004,124.089996,123.419998,123.599998,103.221985,3505200
2019-07-09,123.900002,124.139999,123.070000,123.349998,103.013206,3955600
2019-07-10,124.110001,125.620003,124.110001,125.440002,104.758629,4743500
2019-07-11,125.680000,125.680000,124.599998,125.430000,104.750282,3548000
2019-07-12,125.379997,126.250000,125.129997,125.980003,105.209595,3974400
2019-07-15,126.059998,126.400002,125.269997,125.720001,104.992477,3739200
2019-07-16,125.500000,125.779999,124.260002,124.760002,104.190720,4697600
